,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
159,Bahamas,5,,,,1,4,,13,
160,Fiji,5,,,,,5,,6,
161,Mozambique,5,,,,,5,,0.2,
162,Syria,5,,,,,5,,0.3,
163,Cabo Verde,4,,1,,,3,,7,2
164,Congo,4,,,,,4,,0.7,
165,Eritrea,4,,,,,4,,1,
166,Guinea,4,,,,,4,,0.3,
167,Vatican City,4,,,,,4,,4994,
168,Eswatini,4,,,,,4,,3,
169,Gambia,3,,1,,,2,,1,0.4
170,Sudan,3,,1,,,2,,0.07,0.02
171,Zimbabwe,3,,1,,,2,,0.2,0.07
172,Nepal,3,,,,1,2,,0.1,
173,Angola,3,,,,,3,,0.09,
174,Antigua and Barbuda,3,,,,,3,,31,
175,CAR,3,,,,,3,,0.6,
176,Chad,3,,,,,3,,0.2,
177,Laos,3,,,,,3,,0.4,
178,Liberia,3,,,,,3,,0.6,
179,Myanmar,3,,,,,3,,0.06,
180,St. Barth,3,,,,,3,,304,
181,Saint Lucia,3,,,,,3,,16,
182,Sint Maarten,3,,,,,3,,70,
183,Belize,2,,,,,2,,5,
184,Bhutan,2,,,,,2,,3,
185,British Virgin Islands,2,,,,,2,,66,
186,Guinea-Bissau,2,,,,,2,,1,
187,Mali,2,,,,,2,,0.1,
188,Mauritania,2,,,,,2,,0.4,
189,Nicaragua,2,,,,,2,,0.3,
190,Saint Kitts and Nevis,2,,,,,2,,38,
191,Somalia,2,1,,,,2,,0.1,
192,Grenada,1,,,,,1,,9,
193,Libya,1,,,,,1,,0.1,
194,Montserrat,1,,,,,1,,200,
195,Papua New Guinea,1,,,,,1,,0.1,
196,St. Vincent Grenadines,1,,,,,1,,9,
197,Timor-Leste,1,,,,,1,,0.8,
198,Turks and Caicos,1,,,,,1,,26,
